time,year,month,week_of_year,day_of_week,is_market_open,is_flood_crisis,is_lockdown,Avg.Price (Rs./Kg),MaxPrice (Rs./Kg),Daily_Spread,Total Qty Arrived (Kgs),Qty Sold (Kgs),Smooth_Qty_Arrived,Auctioneer,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),Temp_Diff,precipitation_sum (mm),relative_humidity_2m_mean (%),soil_moisture_0_to_7cm_mean (m³/m³),et0_fao_evapotranspiration (mm),Precip_7D,RH_7D,Lag1,Lag7,Lag14,Lag30,Lag_MaxPrice_1,Lag_Spread_1,MA7,MA14,MA30,Lag_Qty_Sold_1,Lag_Total_Qty_Arrived_1,Precip_30D_Sum,Precip_Lag_60,Soil_Moisture_Lag_14
04/03/2018,2018,3,9,6,0,0,0,954.4475,1246.25,291.8025,0,0,84861.15714,0,20.5,33.2,5.94,27.26,0,0.279,31,25.8,0,0.273,949.94,959.94,984.8425,1010.005,1244.5,294.56,948.6835714,964.7105357,976.34775,92564.6,96298.9,13.9,0,54
05/03/2018,2018,3,10,0,1,0,0,958.955,1248,289.045,52452.9,40462.4,81212.3,2,19,30.1,4.97,25.13,0.1,0.281,41,24.3,0.1,0.274142857,954.4475,950.15,985.455,998.275,1246.25,291.8025,947.8989286,962.5394643,974.4958333,0,0,14,0,46
06/03/2018,2018,3,10,1,1,0,0,988.575,1280,291.425,117266.9,117266.9,73154.41429,2,19,31.1,5.57,25.53,0,0.279,40,24.3,0.1,0.275428571,958.955,952.74,992.09,983.72,1248,289.045,949.1567857,960.6466071,973.1851667,40462.4,52452.9,14,0,46
07/03/2018,2018,3,10,2,1,0,0,1000.77,1252,251.23,56911.2,55796,69074.1,2,18.4,30.9,5.39,25.51,0.1,0.277,36,25.1,0.2,0.276857143,988.575,943.525,986.93,969.165,1280,291.425,954.2760714,960.3955357,973.347,117266.9,117266.9,14.1,0,36
08/03/2018,2018,3,10,3,1,0,0,968.145,1282,313.855,127161.6,123979.6,66728.78571,2,17.8,30.9,5.25,25.65,0.3,0.281,44,23.8,0.5,0.278571429,1000.77,941.81,969.88,1003.235,1252,251.23,962.4539286,961.3841071,974.4005,55796,56911.2,14.4,0,39
09/03/2018,2018,3,10,4,1,0,0,976.16,1235,258.84,40313.5,36182.2,70057.85714,1,18,31.2,4.58,26.62,0,0.285,44,23.6,0.5,0.280142857,968.145,942.68,976.235,995.06,1282,313.855,966.2160714,961.2601786,973.2308333,123979.6,127161.6,14.3,0,44
10/03/2018,2018,3,10,5,1,0,0,948.27,1297,348.73,127668.7,109201,74539.25714,2,18.4,31.4,4.55,26.85,0,0.286,42,24.4,0.5,0.281142857,976.16,949.94,969.73,997.375,1235,258.84,970.9989286,961.2548214,972.6008333,36182.2,40313.5,14.3,0,47
11/03/2018,2018,3,10,6,0,0,0,939.935,1233.75,293.815,0,0,74539.25714,0,18.4,31.4,4.55,26.85,0,0.286,42,24.4,0.5,0.282142857,948.27,954.4475,959.94,992.47,1297,348.73,970.7603571,959.7219643,970.964,109201,127668.7,13.8,0,47
12/03/2018,2018,3,11,0,1,0,0,931.6,1170.5,238.9,71685.2,61932.4,77286.72857,2,18.8,33.2,5.77,27.43,0,0.291,40,25.5,0.4,0.283571429,939.935,958.955,950.15,982.61,1233.75,293.815,968.6871429,958.2930357,969.2128333,0,0,13.8,0,42
13/03/2018,2018,3,11,1,1,0,0,952.835,1247,294.165,160778.1,156426.7,83502.61429,2,18.8,33.7,5.66,28.04,0,0.287,34,25.9,0.4,0.284714286,931.6,988.575,952.74,977.045,1170.5,238.9,964.7792857,956.9680357,967.5125,61932.4,71685.2,13.8,0,39
